Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 03-Jun-2024,Total applicable ELM%
1,AARTIIND,OTH,3.5,0,3.5
2,AARTIIND,OTM,5.25,0,5.25
3,ABB,OTH,3.5,0,3.5
4,ABB,OTM,5.25,0,5.25
5,ABBOTINDIA,OTH,3.5,0,3.5
6,ABBOTINDIA,OTM,5.25,0,5.25
7,ABCAPITAL,OTH,3.5,0,3.5
8,ABCAPITAL,OTM,5.25,0,5.25
9,ABFRL,OTH,3.5,0,3.5
10,ABFRL,OTM,5.25,0,5.25
11,ACC,OTH,3.5,0,3.5
12,ACC,OTM,5.25,0,5.25
13,ADANIENT,OTH,3.5,0,3.5
14,ADANIENT,OTM,5.25,0,5.25
15,ADANIPORTS,OTH,3.5,0,3.5
16,ADANIPORTS,OTM,5.25,0,5.25
17,ALKEM,OTH,3.5,0,3.5
18,ALKEM,OTM,5.25,0,5.25
19,AMBUJACEM,OTH,3.5,0,3.5
20,AMBUJACEM,OTM,5.25,0,5.25
21,APOLLOHOSP,OTH,3.5,0,3.5
22,APOLLOHOSP,OTM,5.25,0,5.25
23,APOLLOTYRE,OTH,3.5,0,3.5
24,APOLLOTYRE,OTM,5.25,0,5.25
25,ASHOKLEY,OTH,3.5,0,3.5
26,ASHOKLEY,OTM,5.25,0,5.25
27,ASIANPAINT,OTH,3.5,0,3.5
28,ASIANPAINT,OTM,5.25,0,5.25
29,ASTRAL,OTH,3.5,0,3.5
30,ASTRAL,OTM,5.25,0,5.25
31,ATUL,OTH,3.5,0,3.5
32,ATUL,OTM,5.25,0,5.25
33,AUBANK,OTH,3.5,0,3.5
34,AUBANK,OTM,5.25,0,5.25
35,AUROPHARMA,OTH,3.5,0,3.5
36,AUROPHARMA,OTM,5.25,0,5.25
37,AXISBANK,OTH,3.5,0,3.5
38,AXISBANK,OTM,5.25,0,5.25
39,BAJAJ-AUTO,OTH,3.5,0,3.5
40,BAJAJ-AUTO,OTM,5.25,0,5.25
41,BAJAJFINSV,OTH,3.5,0,3.5
42,BAJAJFINSV,OTM,5.25,0,5.25
43,BAJFINANCE,OTH,3.5,0,3.5
44,BAJFINANCE,OTM,5.25,0,5.25
45,BALKRISIND,OTH,3.5,0,3.5
46,BALKRISIND,OTM,5.25,0,5.25
47,BALRAMCHIN,OTH,3.5,0,3.5
48,BALRAMCHIN,OTM,5.25,0,5.25
49,BANDHANBNK,OTH,3.5,0,3.5
50,BANDHANBNK,OTM,5.25,0,5.25
51,BANKBARODA,OTH,3.5,0,3.5
52,BANKBARODA,OTM,5.25,0,5.25
53,BATAINDIA,OTH,3.5,0,3.5
54,BATAINDIA,OTM,5.25,0,5.25
55,BEL,OTH,3.5,0,3.5
56,BEL,OTM,5.25,0,5.25
57,BERGEPAINT,OTH,3.5,0,3.5
58,BERGEPAINT,OTM,5.25,0,5.25
59,BHARATFORG,OTH,3.5,0,3.5
60,BHARATFORG,OTM,5.25,0,5.25
61,BHARTIARTL,OTH,3.5,0,3.5
62,BHARTIARTL,OTM,5.25,0,5.25
63,BHEL,OTH,3.5,0,3.5
64,BHEL,OTM,5.25,0,5.25
65,BIOCON,OTH,3.5,0,3.5
66,BIOCON,OTM,5.25,0,5.25
67,BOSCHLTD,OTH,3.5,0,3.5
68,BOSCHLTD,OTM,5.25,0,5.25
69,BPCL,OTH,3.5,0,3.5
70,BPCL,OTM,5.25,0,5.25
71,BRITANNIA,OTH,3.5,0,3.5
72,BRITANNIA,OTM,5.25,0,5.25
73,BSOFT,OTH,3.5,0,3.5
74,BSOFT,OTM,5.25,0,5.25
75,CANBK,OTH,3.5,0,3.5
76,CANBK,OTM,5.25,0,5.25
77,CANFINHOME,OTH,3.5,0,3.5
78,CANFINHOME,OTM,5.25,0,5.25
79,CHAMBLFERT,OTH,3.5,0,3.5
80,CHAMBLFERT,OTM,5.25,0,5.25
81,CHOLAFIN,OTH,3.5,0,3.5
82,CHOLAFIN,OTM,5.25,0,5.25
83,CIPLA,OTH,3.5,0,3.5
84,CIPLA,OTM,5.25,0,5.25
85,COALINDIA,OTH,3.5,0,3.5
86,COALINDIA,OTM,5.25,0,5.25
87,COFORGE,OTH,3.5,0,3.5
88,COFORGE,OTM,5.25,0,5.25
89,COLPAL,OTH,3.5,0,3.5
90,COLPAL,OTM,5.25,0,5.25
91,CONCOR,OTH,3.5,0,3.5
92,CONCOR,OTM,5.25,0,5.25
93,COROMANDEL,OTH,3.5,0,3.5
94,COROMANDEL,OTM,5.25,0,5.25
95,CROMPTON,OTH,3.5,0,3.5
96,CROMPTON,OTM,5.25,0,5.25
97,CUB,OTH,3.5,0,3.5
98,CUB,OTM,5.25,0,5.25
99,CUMMINSIND,OTH,3.5,0,3.5
100,CUMMINSIND,OTM,5.25,0,5.25
101,DABUR,OTH,3.5,0,3.5
102,DABUR,OTM,5.25,0,5.25
103,DALBHARAT,OTH,3.5,0,3.5
104,DALBHARAT,OTM,5.25,0,5.25
105,DEEPAKNTR,OTH,3.5,0,3.5
106,DEEPAKNTR,OTM,5.25,0,5.25
107,DIVISLAB,OTH,3.5,0,3.5
108,DIVISLAB,OTM,5.25,0,5.25
109,DIXON,OTH,3.5,0,3.5
110,DIXON,OTM,5.25,0,5.25
111,DLF,OTH,3.5,0,3.5
112,DLF,OTM,5.25,0,5.25
113,DRREDDY,OTH,3.5,0,3.5
114,DRREDDY,OTM,5.25,0,5.25
115,EICHERMOT,OTH,3.5,0,3.5
116,EICHERMOT,OTM,5.25,0,5.25
117,ESCORTS,OTH,3.5,0,3.5
118,ESCORTS,OTM,5.25,0,5.25
119,EXIDEIND,OTH,3.5,0,3.5
120,EXIDEIND,OTM,5.25,0,5.25
121,FEDERALBNK,OTH,3.5,0,3.5
122,FEDERALBNK,OTM,5.25,0,5.25
123,GAIL,OTH,3.5,0,3.5
124,GAIL,OTM,5.25,0,5.25
125,GLENMARK,OTH,3.5,15,18.5
126,GLENMARK,OTM,5.25,15,20.25
127,GMRINFRA,OTH,3.5,0,3.5
128,GMRINFRA,OTM,5.25,0,5.25
129,GNFC,OTH,3.5,0,3.5
130,GNFC,OTM,5.25,0,5.25
131,GODREJCP,OTH,3.5,0,3.5
132,GODREJCP,OTM,5.25,0,5.25
133,GODREJPROP,OTH,3.5,0,3.5
134,GODREJPROP,OTM,5.25,0,5.25
135,GRANULES,OTH,3.5,0,3.5
136,GRANULES,OTM,5.25,0,5.25
137,GRASIM,OTH,3.5,0,3.5
138,GRASIM,OTM,5.25,0,5.25
139,GUJGASLTD,OTH,3.5,0,3.5
140,GUJGASLTD,OTM,5.25,0,5.25
141,HAL,OTH,3.5,0,3.5
142,HAL,OTM,5.25,0,5.25
143,HAVELLS,OTH,3.5,0,3.5
144,HAVELLS,OTM,5.25,0,5.25
145,HCLTECH,OTH,3.5,0,3.5
146,HCLTECH,OTM,5.25,0,5.25
147,HDFCAMC,OTH,3.5,0,3.5
148,HDFCAMC,OTM,5.25,0,5.25
149,HDFCBANK,OTH,3.5,0,3.5
150,HDFCBANK,OTM,5.25,0,5.25
151,HDFCLIFE,OTH,3.5,0,3.5
152,HDFCLIFE,OTM,5.25,0,5.25
153,HEROMOTOCO,OTH,3.5,0,3.5
154,HEROMOTOCO,OTM,5.25,0,5.25
155,HINDALCO,OTH,3.5,0,3.5
156,HINDALCO,OTM,5.25,0,5.25
157,HINDCOPPER,OTH,3.5,0,3.5
158,HINDCOPPER,OTM,5.25,0,5.25
159,HINDPETRO,OTH,3.5,0,3.5
160,HINDPETRO,OTM,5.25,0,5.25
161,HINDUNILVR,OTH,3.5,0,3.5
162,HINDUNILVR,OTM,5.25,0,5.25
163,ICICIBANK,OTH,3.5,0,3.5
164,ICICIBANK,OTM,5.25,0,5.25
165,ICICIGI,OTH,3.5,0,3.5
166,ICICIGI,OTM,5.25,0,5.25
167,ICICIPRULI,OTH,3.5,0,3.5
168,ICICIPRULI,OTM,5.25,0,5.25
169,IDEA,OTH,3.5,3.5,7
170,IDEA,OTM,5.25,5.25,10.5
171,IDFC,OTH,3.5,0,3.5
172,IDFC,OTM,5.25,0,5.25
173,IDFCFIRSTB,OTH,3.5,0,3.5
174,IDFCFIRSTB,OTM,5.25,0,5.25
175,IEX,OTH,3.5,0,3.5
176,IEX,OTM,5.25,0,5.25
177,IGL,OTH,3.5,0,3.5
178,IGL,OTM,5.25,0,5.25
179,INDHOTEL,OTH,3.5,0,3.5
180,INDHOTEL,OTM,5.25,0,5.25
181,INDIACEM,OTH,3.5,1.75,5.25
182,INDIACEM,OTM,5.25,2.63,7.88
183,INDIAMART,OTH,3.5,0,3.5
184,INDIAMART,OTM,5.25,0,5.25
185,INDIGO,OTH,3.5,0,3.5
186,INDIGO,OTM,5.25,0,5.25
187,INDUSINDBK,OTH,3.5,0,3.5
188,INDUSINDBK,OTM,5.25,0,5.25
189,INDUSTOWER,OTH,3.5,0,3.5
190,INDUSTOWER,OTM,5.25,0,5.25
191,INFY,OTH,3.5,0,3.5
192,INFY,OTM,5.25,0,5.25
193,IOC,OTH,3.5,0,3.5
194,IOC,OTM,5.25,0,5.25
195,IPCALAB,OTH,3.5,0,3.5
196,IPCALAB,OTM,5.25,0,5.25
197,IRCTC,OTH,3.5,0,3.5
198,IRCTC,OTM,5.25,0,5.25
199,ITC,OTH,3.5,0,3.5
200,ITC,OTM,5.25,0,5.25
201,JINDALSTEL,OTH,3.5,0,3.5
202,JINDALSTEL,OTM,5.25,0,5.25
203,JKCEMENT,OTH,3.5,0,3.5
204,JKCEMENT,OTM,5.25,0,5.25
205,JSWSTEEL,OTH,3.5,0,3.5
206,JSWSTEEL,OTM,5.25,0,5.25
207,JUBLFOOD,OTH,3.5,0,3.5
208,JUBLFOOD,OTM,5.25,0,5.25
209,KOTAKBANK,OTH,3.5,0,3.5
210,KOTAKBANK,OTM,5.25,0,5.25
211,LTF,OTH,3.5,0,3.5
212,LTF,OTM,5.25,0,5.25
213,LALPATHLAB,OTH,3.5,0,3.5
214,LALPATHLAB,OTM,5.25,0,5.25
215,LAURUSLABS,OTH,3.5,0,3.5
216,LAURUSLABS,OTM,5.25,0,5.25
217,LICHSGFIN,OTH,3.5,0,3.5
218,LICHSGFIN,OTM,5.25,0,5.25
219,LT,OTH,3.5,0,3.5
220,LT,OTM,5.25,0,5.25
221,LTIM,OTH,3.5,0,3.5
222,LTIM,OTM,5.25,0,5.25
223,LTTS,OTH,3.5,0,3.5
224,LTTS,OTM,5.25,0,5.25
225,LUPIN,OTH,3.5,0,3.5
226,LUPIN,OTM,5.25,0,5.25
227,M&M,OTH,3.5,0,3.5
228,M&M,OTM,5.25,0,5.25
229,M&MFIN,OTH,3.5,0,3.5
230,M&MFIN,OTM,5.25,0,5.25
231,MANAPPURAM,OTH,3.5,0,3.5
232,MANAPPURAM,OTM,5.25,0,5.25
233,MARICO,OTH,3.5,0,3.5
234,MARICO,OTM,5.25,0,5.25
235,MARUTI,OTH,3.5,0,3.5
236,MARUTI,OTM,5.25,0,5.25
237,MCDOWELL-N,OTH,3.5,0,3.5
238,MCDOWELL-N,OTM,5.25,0,5.25
239,MCX,OTH,3.5,0,3.5
240,MCX,OTM,5.25,0,5.25
241,METROPOLIS,OTH,3.5,0,3.5
242,METROPOLIS,OTM,5.25,0,5.25
243,MFSL,OTH,3.5,0,3.5
244,MFSL,OTM,5.25,0,5.25
245,MGL,OTH,3.5,0,3.5
246,MGL,OTM,5.25,0,5.25
247,MOTHERSON,OTH,3.5,0,3.5
248,MOTHERSON,OTM,5.25,0,5.25
249,MPHASIS,OTH,3.5,0,3.5
250,MPHASIS,OTM,5.25,0,5.25
251,MRF,OTH,3.5,0,3.5
252,MRF,OTM,5.25,0,5.25
253,MUTHOOTFIN,OTH,3.5,0,3.5
254,MUTHOOTFIN,OTM,5.25,0,5.25
255,NATIONALUM,OTH,3.5,0,3.5
256,NATIONALUM,OTM,5.25,0,5.25
257,NAUKRI,OTH,3.5,0,3.5
258,NAUKRI,OTM,5.25,0,5.25
259,NAVINFLUOR,OTH,3.5,0,3.5
260,NAVINFLUOR,OTM,5.25,0,5.25
261,NESTLEIND,OTH,3.5,0,3.5
262,NESTLEIND,OTM,5.25,0,5.25
263,NMDC,OTH,3.5,0,3.5
264,NMDC,OTM,5.25,0,5.25
265,NTPC,OTH,3.5,0,3.5
266,NTPC,OTM,5.25,0,5.25
267,OBEROIRLTY,OTH,3.5,0,3.5
268,OBEROIRLTY,OTM,5.25,0,5.25
269,OFSS,OTH,3.5,0,3.5
270,OFSS,OTM,5.25,0,5.25
271,ONGC,OTH,3.5,0,3.5
272,ONGC,OTM,5.25,0,5.25
273,PAGEIND,OTH,3.5,0,3.5
274,PAGEIND,OTM,5.25,0,5.25
275,PEL,OTH,3.5,1.75,5.25
276,PEL,OTM,5.25,2.63,7.88
277,PERSISTENT,OTH,3.5,0,3.5
278,PERSISTENT,OTM,5.25,0,5.25
279,PETRONET,OTH,3.5,0,3.5
280,PETRONET,OTM,5.25,0,5.25
281,PFC,OTH,3.5,0,3.5
282,PFC,OTM,5.25,0,5.25
283,PIDILITIND,OTH,3.5,0,3.5
284,PIDILITIND,OTM,5.25,0,5.25
285,PIIND,OTH,3.5,0,3.5
286,PIIND,OTM,5.25,0,5.25
287,PNB,OTH,3.5,0,3.5
288,PNB,OTM,5.25,0,5.25
289,POLYCAB,OTH,3.5,0,3.5
290,POLYCAB,OTM,5.25,0,5.25
291,POWERGRID,OTH,3.5,0,3.5
292,POWERGRID,OTM,5.25,0,5.25
293,PVRINOX,OTH,3.5,0,3.5
294,PVRINOX,OTM,5.25,0,5.25
295,RAMCOCEM,OTH,3.5,0,3.5
296,RAMCOCEM,OTM,5.25,0,5.25
297,RBLBANK,OTH,3.5,15,18.5
298,RBLBANK,OTM,5.25,15,20.25
299,RECLTD,OTH,3.5,0,3.5
300,RECLTD,OTM,5.25,0,5.25
301,RELIANCE,OTH,3.5,0,3.5
302,RELIANCE,OTM,5.25,0,5.25
303,SAIL,OTH,3.5,5.25,8.75
304,SAIL,OTM,5.25,7.88,13.13
305,SBICARD,OTH,3.5,0,3.5
306,SBICARD,OTM,5.25,0,5.25
307,SBILIFE,OTH,3.5,0,3.5
308,SBILIFE,OTM,5.25,0,5.25
309,SBIN,OTH,3.5,0,3.5
310,SBIN,OTM,5.25,0,5.25
311,SHREECEM,OTH,3.5,0,3.5
312,SHREECEM,OTM,5.25,0,5.25
313,SIEMENS,OTH,3.5,0,3.5
314,SIEMENS,OTM,5.25,0,5.25
315,SRF,OTH,3.5,0,3.5
316,SRF,OTM,5.25,0,5.25
317,SHRIRAMFIN,OTH,3.5,0,3.5
318,SHRIRAMFIN,OTM,5.25,0,5.25
319,SUNPHARMA,OTH,3.5,0,3.5
320,SUNPHARMA,OTM,5.25,0,5.25
321,SUNTV,OTH,3.5,0,3.5
322,SUNTV,OTM,5.25,0,5.25
323,SYNGENE,OTH,3.5,0,3.5
324,SYNGENE,OTM,5.25,0,5.25
325,TATACHEM,OTH,3.5,0,3.5
326,TATACHEM,OTM,5.25,0,5.25
327,TATACOMM,OTH,3.5,0,3.5
328,TATACOMM,OTM,5.25,0,5.25
329,TATACONSUM,OTH,3.5,0,3.5
330,TATACONSUM,OTM,5.25,0,5.25
331,TATAMOTORS,OTH,3.5,0,3.5
332,TATAMOTORS,OTM,5.25,0,5.25
333,TATAPOWER,OTH,3.5,0,3.5
334,TATAPOWER,OTM,5.25,0,5.25
335,TATASTEEL,OTH,3.5,0,3.5
336,TATASTEEL,OTM,5.25,0,5.25
337,TCS,OTH,3.5,0,3.5
338,TCS,OTM,5.25,0,5.25
339,TECHM,OTH,3.5,0,3.5
340,TECHM,OTM,5.25,0,5.25
341,TITAN,OTH,3.5,0,3.5
342,TITAN,OTM,5.25,0,5.25
343,TORNTPHARM,OTH,3.5,0,3.5
344,TORNTPHARM,OTM,5.25,0,5.25
345,TRENT,OTH,3.5,0,3.5
346,TRENT,OTM,5.25,0,5.25
347,TVSMOTOR,OTH,3.5,0,3.5
348,TVSMOTOR,OTM,5.25,0,5.25
349,UBL,OTH,3.5,0,3.5
350,UBL,OTM,5.25,0,5.25
351,ULTRACEMCO,OTH,3.5,0,3.5
352,ULTRACEMCO,OTM,5.25,0,5.25
353,UPL,OTH,3.5,0,3.5
354,UPL,OTM,5.25,0,5.25
355,VEDL,OTH,3.5,0,3.5
356,VEDL,OTM,5.25,0,5.25
357,VOLTAS,OTH,3.5,0,3.5
358,VOLTAS,OTM,5.25,0,5.25
359,WIPRO,OTH,3.5,0,3.5
360,WIPRO,OTM,5.25,0,5.25
361,ZEEL,OTH,3.5,15,18.5
362,ZEEL,OTM,5.25,15,20.25
363,ZYDUSLIFE,OTH,3.5,0,3.5
364,ZYDUSLIFE,OTM,5.25,0,5.25
